scenario_id,scenario_type,target_name,target_col,model_name,forecast_origin,horizon,target_mae,target_rmse,target_smape,raw_capacity_mae,raw_capacity_rmse,raw_capacity_smape,includes_eol,true_eol_cycle,true_rul
pre_01_o182_h10,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RidgeRegression,182,10,0.01568997065991832,0.01577006148674241,0.015563876733961673,0.016752283826206894,0.016802435769899402,0.01660927437036964,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RandomForestRegressor,182,10,0.00735297981296561,0.007511988175172742,0.007263450213845199,0.008415292979254186,0.008501899965742243,0.008308898102812495,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_raw,capacity_raw,Persistence,182,20,0.004977044426536281,0.006514943915059942,0.004920502467250654,0.004977044426536281,0.006514943915059942,0.004920502467250654,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_raw,capacity_raw,MovingAverage,182,20,0.014365863276881963,0.015681525496730832,0.014258151414869798,0.014365863276881963,0.015681525496730832,0.014258151414869798,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_raw,capacity_raw,RidgeRegression,182,20,0.021484174613907753,0.022358553214321956,0.02140887375921742,0.021484174613907753,0.022358553214321956,0.02140887375921742,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_raw,capacity_raw,RandomForestRegressor,182,20,0.03353073976439222,0.03613842055581397,0.0337433841872025,0.03353073976439222,0.03613842055581397,0.0337433841872025,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,Persistence,182,20,0.011383158041314534,0.012050926914414577,0.011304264319907251,0.01292259686903272,0.014230908986869246,0.01281468580780773,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,MovingAverage,182,20,0.016720931901414125,0.017182494468346163,0.01665281635958659,0.01806510528728038,0.019154159714688025,0.017967815312094067,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RidgeRegression,182,20,0.019595383778689957,0.02000615746198728,0.019544885520167463,0.02093955716455621,0.021871583409438546,0.02085983650284231,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RandomForestRegressor,182,20,0.01518572321898522,0.01567298394463782,0.015111925309760355,0.016529896604851473,0.017768171948782715,0.01642694019695149,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,Persistence,182,20,0.0038949337790770144,0.004415237289954593,0.003842150260632295,0.005460595975409888,0.006368977323139576,0.005397334557209185,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,MovingAverage,182,20,0.010368208690047486,0.011149855465942698,0.01025778006780342,0.009604160687459218,0.01066751845449534,0.009505139112112987,False,546,364
